rank,title,summary,tags,interest_count,rating,gender,ages
1,엄마를 만나러 가는 길,"폐가에서 발견된 아이 '모리'는 구조대에 의해 보호소에서 눈을 뜬다.
익숙하지 않은 생활에 적응하던 어느 날 생긴 후원자에게 조건 없는 사랑을 받고 자라는데..
친하게 지내던 친구가 엄마와 떠나고, '엄마'라는 존재가 있다는 걸 알게 된 아이는 생각한다.
혹시 이 사람이... 나의 엄마가 아닐까?
모리의 멀고도 험한 엄마 만나러 가는 이야기.","['2023 지상최대공모전', '모험', '무해한', '감성적인', '러블리', '판타지']",259146,9.98,여성,10대
2,화산귀환,"대 화산파 13대 제자.천하삼대검수 매화검존 청명. 
천하를 혼란에 빠뜨린 고금제일마 천마의 목을 치고 십만대산의 정상에서 영면.
백 년의 시간을 뛰어넘어 아이의 몸으로 다시 살아나다.
......뭐? 화산이 망해? 이게 뭔 개소리야!?","['회귀', '명작', '세계관', '판무', '힘숨찐', '무협/사극', '동양풍판타지', '개그']",1534623,9.88,남성,20대
3,외모최강주의,"외모최강주의의 주인공은 평범한 일상 속에서 예상치 못한 사건에 휘말리게 된다. 학원액션, 소년물 요소가 더해져 더욱 흥미롭다.","['드라마', '학원액션', '소년물', '격투기']",2439999,9.4,남성,10대
4,마른 가지에 바람처럼,"남편을 잃고, 아이를 빼앗기고, 이제 생매장을 눈 앞에 둔 과부 리에타. 
그 곳에 ‘미친 폐황자’로 불리는 저주받은 땅, 악시아스 성의 대공. 킬리언이 나타났다.
그녀를 데려가겠다고 말하는 킬리언이 인사를 건넨다. “안녕, 요부”","['로맨스', '순정남', '서양', '이능력', '설렘폭발', '공식미남', '공식미녀', '왕족/귀족']",458809,9.97,여성,10대
5,신의 탑,"자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑","['이능력', '전쟁', '모험', '액션', '배틀', '성장물', '서바이벌', '판타지', '명작']",1910544,9.84,남성,20대
6,별이삼샵,"자니? 발신자 제한번호로 그녀에게 마음을 전했던 이야기. 
'남과여' 혀노 작가가 담아낸
 촌스럽지만 풋풋했던 2000년대 그 시절.","['러브코미디', '짝사랑남', '우정', '드라마', '공식미녀', '청춘', '소심남', '평범남']",736106,9.95,여성,30대
7,전지적 독자 시점,"평범했던 주인공이 판타지 세계에서 영웅으로 성장하는 전지적 독자 시점의 이야기. 게임,  세계관 요소가 더해져 더욱 흥미롭다.","['판타지', '게임', '세계관', '아포칼립스']",1295330,9.95,남성,10대
8,S라인,"가까운 미래, 사람들의 머리 위로 붉은 선이 이어진다.
선의 정체는 무엇인가? 시간이 지나고 사람들은 붉은 선을
S라인이라 부르기 시작한다.","['완결판타지', '판타지']",93563,9.86,남성,10대
9,광장,"‘군계일학’ 정점에서 조직을 떠난 기준.

15년만에
홀로 복귀한다.","['사이다', '완결액션', '먼치킨', '복수극', '액션']",661303,9.97,남성,20대
10,제로게임,"죽음을 선택한 사람들의 인생 재건설 서바이벌!
2015 대학만화 최강자전 수상작","['데스게임', '최강자전', '배틀', '이능력배틀물', '서바이벌', '판타지', '2015 최강자전']",375300,9.97,남성,10대
11,견우와 선녀,"죽음이 가까워진 사람들은 '거꾸로' 걸어들어 온다
그리고 그게 하필 내 이상형이라니!?","['완결드라마', '드라마']",335462,9.97,여성,30대
